Item,Price
3 Tender Combo,8
3 Tender Combo With Milkshake,12
Chicken Tender,1.5
Fries,3
Iced King's Hawaiian Roll,0.75
Coke Freestyle,2.35
Milkshake,5
Plant Based Combo,7.5
Plant Based Tender,1.25
